timestamp,caller,target,total,2xx,4xx,5xx,retry
2026-09-12T18:55:27Z,adservice,adservice,0,0,0,0,0
2026-09-12T18:55:27Z,adservice,cartservice,0,0,0,0,0
2026-09-12T18:55:27Z,adservice,checkoutservice,0,0,0,0,0
2026-09-12T18:55:27Z,adservice,currencyservice,0,0,0,0,0
2026-09-12T18:55:27Z,adservice,emailservice,0,0,0,0,0
2026-09-12T18:55:27Z,adservice,frontend,0,0,0,0,0
2026-09-12T18:55:27Z,adservice,kubernetes,0,0,0,0,0
2026-09-12T18:55:27Z,adservice,paymentservice,0,0,0,0,0
2026-09-12T18:55:27Z,adservice,productcatalogservice,0,0,0,0,0
2026-09-12T18:55:27Z,adservice,recommendationservice,0,0,0,0,0
2026-09-12T18:55:27Z,adservice,redis-cart,0,0,0,0,0
2026-09-12T18:55:27Z,adservice,shippingservice,0,0,0,0,0
2026-09-12T18:55:27Z,cartservice,adservice,0,0,0,0,0
2026-09-12T18:55:27Z,cartservice,cartservice,0,0,0,0,0
2026-09-12T18:55:27Z,cartservice,checkoutservice,0,0,0,0,0
2026-09-12T18:55:27Z,cartservice,currencyservice,0,0,0,0,0
2026-09-12T18:55:27Z,cartservice,emailservice,0,0,0,0,0
2026-09-12T18:55:27Z,cartservice,frontend,0,0,0,0,0
2026-09-12T18:55:27Z,cartservice,kubernetes,0,0,0,0,0
2026-09-12T18:55:27Z,cartservice,paymentservice,0,0,0,0,0
2026-09-12T18:55:27Z,cartservice,productcatalogservice,0,0,0,0,0
2026-09-12T18:55:27Z,cartservice,recommendationservice,0,0,0,0,0
2026-09-12T18:55:27Z,cartservice,redis-cart,2,0,0,0,0
2026-09-12T18:55:27Z,cartservice,shippingservice,0,0,0,0,0
2026-09-12T18:55:27Z,checkoutservice,adservice,0,0,0,0,0
2026-09-12T18:55:27Z,checkoutservice,cartservice,0,0,0,0,0
2026-09-12T18:55:27Z,checkoutservice,checkoutservice,0,0,0,0,0
2026-09-12T18:55:27Z,checkoutservice,currencyservice,0,0,0,0,0
2026-09-12T18:55:27Z,checkoutservice,emailservice,0,0,0,0,0
2026-09-12T18:55:27Z,checkoutservice,frontend,0,0,0,0,0
2026-09-12T18:55:27Z,checkoutservice,kubernetes,0,0,0,0,0
2026-09-12T18:55:27Z,checkoutservice,paymentservice,0,0,0,0,0
2026-09-12T18:55:27Z,checkoutservice,productcatalogservice,0,0,0,0,0
2026-09-12T18:55:27Z,checkoutservice,recommendationservice,0,0,0,0,0
2026-09-12T18:55:27Z,checkoutservice,redis-cart,0,0,0,0,0
2026-09-12T18:55:27Z,checkoutservice,shippingservice,0,0,0,0,0
2026-09-12T18:55:27Z,currencyservice,adservice,0,0,0,0,0
2026-09-12T18:55:27Z,currencyservice,cartservice,0,0,0,0,0
2026-09-12T18:55:27Z,currencyservice,checkoutservice,0,0,0,0,0
2026-09-12T18:55:27Z,currencyservice,currencyservice,0,0,0,0,0
2026-09-12T18:55:27Z,currencyservice,emailservice,0,0,0,0,0
2026-09-12T18:55:27Z,currencyservice,frontend,0,0,0,0,0
2026-09-12T18:55:27Z,currencyservice,kubernetes,0,0,0,0,0
2026-09-12T18:55:27Z,currencyservice,paymentservice,0,0,0,0,0
2026-09-12T18:55:27Z,currencyservice,productcatalogservice,0,0,0,0,0
2026-09-12T18:55:27Z,currencyservice,recommendationservice,0,0,0,0,0
2026-09-12T18:55:27Z,currencyservice,redis-cart,0,0,0,0,0
