timestamp,target_service,upstream_rq_total,upstream_rq_retry,upstream_rq_retry_success,upstream_rq_retry_limit_exceeded
2026-09-05T13:22:54Z,cartservice,1717804,0,0,0
2026-09-05T13:22:54Z,productcatalogservice,6898812,0,0,0
2026-09-05T13:22:54Z,checkoutservice,46362,140,0,52
2026-09-05T13:22:59Z,cartservice,1717804,0,0,0
2026-09-05T13:22:59Z,productcatalogservice,6898812,0,0,0
2026-09-05T13:22:59Z,checkoutservice,46362,140,0,52
2026-09-05T13:23:05Z,cartservice,1717804,0,0,0
2026-09-05T13:23:05Z,productcatalogservice,6898812,0,0,0
2026-09-05T13:23:05Z,checkoutservice,46362,140,0,52
2026-09-05T13:23:10Z,cartservice,1717804,0,0,0
2026-09-05T13:23:10Z,productcatalogservice,6898812,0,0,0
2026-09-05T13:23:10Z,checkoutservice,46362,140,0,52
2026-09-05T13:23:15Z,cartservice,1717804,0,0,0
2026-09-05T13:23:15Z,productcatalogservice,6898812,0,0,0
2026-09-05T13:23:15Z,checkoutservice,46362,140,0,52
2026-09-05T13:23:21Z,cartservice,1717804,0,0,0
2026-09-05T13:23:21Z,productcatalogservice,6898812,0,0,0
2026-09-05T13:23:21Z,checkoutservice,46362,140,0,52
2026-09-05T13:23:26Z,cartservice,1717804,0,0,0
2026-09-05T13:23:26Z,productcatalogservice,6898812,0,0,0
2026-09-05T13:23:26Z,checkoutservice,46362,140,0,52
2026-09-05T13:23:31Z,cartservice,1717804,0,0,0
2026-09-05T13:23:31Z,productcatalogservice,6898812,0,0,0
2026-09-05T13:23:31Z,checkoutservice,46362,140,0,52
2026-09-05T13:23:37Z,cartservice,1717804,0,0,0
2026-09-05T13:23:37Z,productcatalogservice,6898812,0,0,0
2026-09-05T13:23:37Z,checkoutservice,46362,140,0,52
2026-09-05T13:23:42Z,cartservice,1717804,0,0,0
2026-09-05T13:23:42Z,productcatalogservice,6898812,0,0,0
2026-09-05T13:23:42Z,checkoutservice,46362,140,0,52
2026-09-05T13:23:47Z,cartservice,1717804,0,0,0
2026-09-05T13:23:47Z,productcatalogservice,6898812,0,0,0
2026-09-05T13:23:47Z,checkoutservice,46362,140,0,52
2026-09-05T13:23:53Z,cartservice,1717804,0,0,0
2026-09-05T13:23:53Z,productcatalogservice,6898812,0,0,0
2026-09-05T13:23:53Z,checkoutservice,46362,140,0,52
2026-09-05T13:23:58Z,cartservice,1717804,0,0,0
2026-09-05T13:23:58Z,productcatalogservice,6898812,0,0,0
2026-09-05T13:23:58Z,checkoutservice,46362,140,0,52
2026-09-05T13:24:03Z,cartservice,1717804,0,0,0
2026-09-05T13:24:03Z,productcatalogservice,6898812,0,0,0
2026-09-05T13:24:03Z,checkoutservice,46362,140,0,52
2026-09-05T13:24:09Z,cartservice,1719488,0,0,0
2026-09-05T13:24:09Z,productcatalogservice,6904401,0,0,0
2026-09-05T13:24:09Z,checkoutservice,46395,140,0,52
2026-09-05T13:24:14Z,cartservice,1721674,0,0,0
2026-09-05T13:24:14Z,productcatalogservice,6913732,0,0,0
2026-09-05T13:24:14Z,checkoutservice,46457,140,0,52
2026-09-05T13:24:20Z,cartservice,1724131,0,0,0
2026-09-05T13:24:20Z,productcatalogservice,6923311,0,0,0
2026-09-05T13:24:20Z,checkoutservice,46519,140,0,52
2026-09-05T13:24:25Z,cartservice,1726729,0,0,0
2026-09-05T13:24:25Z,productcatalogservice,6933329,0,0,0
2026-09-05T13:24:25Z,checkoutservice,46569,140,0,52
2026-09-05T13:24:30Z,cartservice,1729200,0,0,0
2026-09-05T13:24:30Z,productcatalogservice,6944100,0,0,0
2026-09-05T13:24:30Z,checkoutservice,46633,140,0,52
2026-09-05T13:24:36Z,cartservice,1732029,0,0,0
2026-09-05T13:24:36Z,productcatalogservice,6954811,0,0,0
2026-09-05T13:24:36Z,checkoutservice,46697,140,0,52
2026-09-05T13:24:41Z,cartservice,1734821,0,0,0
2026-09-05T13:24:41Z,productcatalogservice,6965655,0,0,0
2026-09-05T13:24:41Z,checkoutservice,46749,140,0,52
2026-09-05T13:24:47Z,cartservice,1737519,0,0,0
2026-09-05T13:24:47Z,productcatalogservice,6976885,0,0,0
2026-09-05T13:24:47Z,checkoutservice,46808,140,0,52
2026-09-05T13:24:52Z,cartservice,1740406,0,0,0
2026-09-05T13:24:52Z,productcatalogservice,6988160,0,0,0
2026-09-05T13:24:52Z,checkoutservice,46863,140,0,52
2026-09-05T13:24:58Z,cartservice,1743110,0,0,0
2026-09-05T13:24:58Z,productcatalogservice,6999412,0,0,0
2026-09-05T13:24:58Z,checkoutservice,46924,140,0,52
2026-09-05T13:25:03Z,cartservice,1745971,0,0,0
2026-09-05T13:25:03Z,productcatalogservice,7010664,0,0,0
2026-09-05T13:25:03Z,checkoutservice,46987,140,0,52
2026-09-05T13:25:08Z,cartservice,1748744,0,0,0
2026-09-05T13:25:08Z,productcatalogservice,7022123,0,0,0
2026-09-05T13:25:08Z,checkoutservice,47042,140,0,52
2026-09-05T13:25:14Z,cartservice,1751552,0,0,0
2026-09-05T13:25:14Z,productcatalogservice,7033470,0,0,0
2026-09-05T13:25:14Z,checkoutservice,47096,140,0,52
2026-09-05T13:25:19Z,cartservice,1754432,0,0,0
2026-09-05T13:25:19Z,productcatalogservice,7044821,0,0,0
2026-09-05T13:25:19Z,checkoutservice,47154,140,0,52
2026-09-05T13:25:25Z,cartservice,1757149,0,0,0
2026-09-05T13:25:25Z,productcatalogservice,7055676,0,0,0
2026-09-05T13:25:25Z,checkoutservice,47218,140,0,52
2026-09-05T13:25:30Z,cartservice,1759907,0,0,0
2026-09-05T13:25:30Z,productcatalogservice,7066908,0,0,0
2026-09-05T13:25:30Z,checkoutservice,47266,140,0,52
2026-09-05T13:25:35Z,cartservice,1762477,0,0,0
2026-09-05T13:25:35Z,productcatalogservice,7077624,0,0,0
2026-09-05T13:25:35Z,checkoutservice,47331,140,0,52
2026-09-05T13:25:41Z,cartservice,1765271,0,0,0
2026-09-05T13:25:41Z,productcatalogservice,7088865,0,0,0
2026-09-05T13:25:41Z,checkoutservice,47384,140,0,52
2026-09-05T13:25:46Z,cartservice,1768141,0,0,0
2026-09-05T13:25:46Z,productcatalogservice,7100242,0,0,0
2026-09-05T13:25:46Z,checkoutservice,47435,140,0,52
2026-09-05T13:25:52Z,cartservice,1770937,0,0,0
