timestamp,api,threshold,admitted_rps,threshold_fresh,admitted_fresh
2026-09-25T09:23:40Z,getproduct,10000.0,0.0,1,1
2026-09-25T09:23:40Z,postcheckout,10000.0,0.0,1,1
2026-09-25T09:23:40Z,getcart,10000.0,0.0,1,1
2026-09-25T09:23:40Z,postcart,10000.0,0.0,1,1
2026-09-25T09:23:40Z,emptycart,10000.0,0.0,1,1
2026-09-25T09:23:41Z,getproduct,10000.0,0.0,0,0
2026-09-25T09:23:41Z,postcheckout,10000.0,0.0,0,0
2026-09-25T09:23:41Z,getcart,10000.0,0.0,0,0
2026-09-25T09:23:41Z,postcart,10000.0,0.0,0,0
2026-09-25T09:23:41Z,emptycart,10000.0,0.0,0,0
2026-09-25T09:23:42Z,getproduct,10000.0,0.0,0,0
2026-09-25T09:23:42Z,postcheckout,10000.0,0.0,0,0
2026-09-25T09:23:42Z,getcart,10000.0,0.0,0,0
2026-09-25T09:23:42Z,postcart,10000.0,0.0,0,0
2026-09-25T09:23:42Z,emptycart,10000.0,0.0,0,0
2026-09-25T09:23:43Z,getproduct,10000.0,0.0,0,0
2026-09-25T09:23:43Z,postcheckout,10000.0,0.0,0,0
2026-09-25T09:23:43Z,getcart,10000.0,0.0,0,0
2026-09-25T09:23:43Z,postcart,10000.0,0.0,0,0
2026-09-25T09:23:43Z,emptycart,10000.0,0.0,0,0
2026-09-25T09:23:44Z,getproduct,10000.0,0.0,0,0
2026-09-25T09:23:44Z,postcheckout,10000.0,0.0,0,0
2026-09-25T09:23:44Z,getcart,10000.0,0.0,0,0
2026-09-25T09:23:44Z,postcart,10000.0,0.0,0,0
2026-09-25T09:23:44Z,emptycart,10000.0,0.0,0,0
2026-09-25T09:23:45Z,getproduct,10000.0,0.0,1,1
2026-09-25T09:23:45Z,postcheckout,10000.0,0.0,1,1
2026-09-25T09:23:45Z,getcart,10000.0,0.0,1,1
2026-09-25T09:23:45Z,postcart,10000.0,0.0,1,1
2026-09-25T09:23:45Z,emptycart,10000.0,0.0,1,1
2026-09-25T09:23:46Z,getproduct,10000.0,0.0,0,0
2026-09-25T09:23:46Z,postcheckout,10000.0,0.0,0,0
2026-09-25T09:23:46Z,getcart,10000.0,0.0,0,0
2026-09-25T09:23:46Z,postcart,10000.0,0.0,0,0
2026-09-25T09:23:46Z,emptycart,10000.0,0.0,0,0
2026-09-25T09:23:47Z,getproduct,10000.0,0.0,0,0
2026-09-25T09:23:47Z,postcheckout,10000.0,0.0,0,0
2026-09-25T09:23:47Z,getcart,10000.0,0.0,0,0
2026-09-25T09:23:47Z,postcart,10000.0,0.0,0,0
2026-09-25T09:23:47Z,emptycart,10000.0,0.0,0,0
2026-09-25T09:23:48Z,getproduct,10000.0,0.0,0,0
2026-09-25T09:23:48Z,postcheckout,10000.0,0.0,0,0
2026-09-25T09:23:48Z,getcart,10000.0,0.0,0,0
2026-09-25T09:23:48Z,postcart,10000.0,0.0,0,0
2026-09-25T09:23:48Z,emptycart,10000.0,0.0,0,0
2026-09-25T09:23:49Z,getproduct,10000.0,0.0,0,0
2026-09-25T09:23:49Z,postcheckout,10000.0,0.0,0,0
2026-09-25T09:23:49Z,getcart,10000.0,0.0,0,0
