timestamp,service,total,2xx,4xx,5xx,resets,rq_time_sum_ms,rq_time_count
2026-09-16T19:34:05Z,adservice,1,1,0,0,0,73,1
2026-09-16T19:34:05Z,cartservice,1,1,0,0,0,414,1
2026-09-16T19:34:05Z,checkoutservice,0,0,0,0,0,0,0
2026-09-16T19:34:05Z,currencyservice,10,10,0,0,0,25,10
2026-09-16T19:34:05Z,emailservice,0,0,0,0,0,0,0
2026-09-16T19:34:05Z,frontend,1,1,0,0,0,665,1
2026-09-16T19:34:05Z,paymentservice,0,0,0,0,0,0,0
2026-09-16T19:34:05Z,productcatalogservice,1,1,0,0,0,5,1
2026-09-16T19:34:05Z,recommendationservice,0,0,0,0,0,0,0
2026-09-16T19:34:05Z,redis-cart,0,0,0,0,0,0,0
2026-09-16T19:34:05Z,shippingservice,0,0,0,0,0,0,0
2026-09-16T19:34:10Z,adservice,1,1,0,0,0,73,1
2026-09-16T19:34:10Z,cartservice,1,1,0,0,0,414,1
2026-09-16T19:34:10Z,checkoutservice,0,0,0,0,0,0,0
2026-09-16T19:34:10Z,currencyservice,10,10,0,0,0,25,10
2026-09-16T19:34:10Z,emailservice,0,0,0,0,0,0,0
2026-09-16T19:34:10Z,frontend,1,1,0,0,0,665,1
2026-09-16T19:34:10Z,paymentservice,0,0,0,0,0,0,0
2026-09-16T19:34:10Z,productcatalogservice,1,1,0,0,0,5,1
2026-09-16T19:34:10Z,recommendationservice,0,0,0,0,0,0,0
2026-09-16T19:34:10Z,redis-cart,0,0,0,0,0,0,0
2026-09-16T19:34:10Z,shippingservice,0,0,0,0,0,0,0
2026-09-16T19:34:15Z,adservice,1,1,0,0,0,73,1
2026-09-16T19:34:15Z,cartservice,1,1,0,0,0,414,1
2026-09-16T19:34:15Z,checkoutservice,0,0,0,0,0,0,0
2026-09-16T19:34:15Z,currencyservice,10,10,0,0,0,25,10
2026-09-16T19:34:15Z,emailservice,0,0,0,0,0,0,0
2026-09-16T19:34:15Z,frontend,1,1,0,0,0,665,1
2026-09-16T19:34:15Z,paymentservice,0,0,0,0,0,0,0
2026-09-16T19:34:15Z,productcatalogservice,1,1,0,0,0,5,1
2026-09-16T19:34:15Z,recommendationservice,0,0,0,0,0,0,0
2026-09-16T19:34:15Z,redis-cart,0,0,0,0,0,0,0
2026-09-16T19:34:15Z,shippingservice,0,0,0,0,0,0,0
2026-09-16T19:34:20Z,adservice,1,1,0,0,0,73,1
2026-09-16T19:34:20Z,cartservice,1,1,0,0,0,414,1
2026-09-16T19:34:20Z,checkoutservice,0,0,0,0,0,0,0
2026-09-16T19:34:20Z,currencyservice,10,10,0,0,0,25,10
2026-09-16T19:34:20Z,emailservice,0,0,0,0,0,0,0
2026-09-16T19:34:20Z,frontend,1,1,0,0,0,665,1
2026-09-16T19:34:20Z,paymentservice,0,0,0,0,0,0,0
2026-09-16T19:34:20Z,productcatalogservice,1,1,0,0,0,5,1
2026-09-16T19:34:20Z,recommendationservice,0,0,0,0,0,0,0
2026-09-16T19:34:20Z,redis-cart,0,0,0,0,0,0,0
2026-09-16T19:34:20Z,shippingservice,0,0,0,0,0,0,0
2026-09-16T19:34:25Z,adservice,1,1,0,0,0,73,1
2026-09-16T19:34:25Z,cartservice,1,1,0,0,0,414,1
2026-09-16T19:34:25Z,checkoutservice,0,0,0,0,0,0,0
2026-09-16T19:34:25Z,currencyservice,10,10,0,0,0,25,10
2026-09-16T19:34:25Z,emailservice,0,0,0,0,0,0,0
2026-09-16T19:34:25Z,frontend,1,1,0,0,0,665,1
2026-09-16T19:34:25Z,paymentservice,0,0,0,0,0,0,0
2026-09-16T19:34:25Z,productcatalogservice,1,1,0,0,0,5,1
2026-09-16T19:34:25Z,recommendationservice,0,0,0,0,0,0,0
2026-09-16T19:34:25Z,redis-cart,0,0,0,0,0,0,0
2026-09-16T19:34:25Z,shippingservice,0,0,0,0,0,0,0
2026-09-16T19:34:30Z,adservice,1,1,0,0,0,73,1
2026-09-16T19:34:30Z,cartservice,1,1,0,0,0,414,1
2026-09-16T19:34:30Z,checkoutservice,0,0,0,0,0,0,0
2026-09-16T19:34:30Z,currencyservice,10,10,0,0,0,25,10
2026-09-16T19:34:30Z,emailservice,0,0,0,0,0,0,0
2026-09-16T19:34:30Z,frontend,1,1,0,0,0,665,1
2026-09-16T19:34:30Z,paymentservice,0,0,0,0,0,0,0
2026-09-16T19:34:30Z,productcatalogservice,1,1,0,0,0,5,1
2026-09-16T19:34:30Z,recommendationservice,0,0,0,0,0,0,0
2026-09-16T19:34:30Z,redis-cart,0,0,0,0,0,0,0
2026-09-16T19:34:30Z,shippingservice,0,0,0,0,0,0,0
2026-09-16T19:34:35Z,adservice,1,1,0,0,0,73,1
2026-09-16T19:34:35Z,cartservice,1,1,0,0,0,414,1
2026-09-16T19:34:35Z,checkoutservice,0,0,0,0,0,0,0
2026-09-16T19:34:35Z,currencyservice,10,10,0,0,0,25,10
2026-09-16T19:34:35Z,emailservice,0,0,0,0,0,0,0
2026-09-16T19:34:35Z,frontend,1,1,0,0,0,665,1
2026-09-16T19:34:35Z,paymentservice,0,0,0,0,0,0,0
2026-09-16T19:34:35Z,productcatalogservice,1,1,0,0,0,5,1
2026-09-16T19:34:35Z,recommendationservice,0,0,0,0,0,0,0
2026-09-16T19:34:35Z,redis-cart,0,0,0,0,0,0,0
2026-09-16T19:34:35Z,shippingservice,0,0,0,0,0,0,0
2026-09-16T19:34:40Z,adservice,1,1,0,0,0,73,1
2026-09-16T19:34:40Z,cartservice,1,1,0,0,0,414,1
2026-09-16T19:34:40Z,checkoutservice,0,0,0,0,0,0,0
2026-09-16T19:34:40Z,currencyservice,10,10,0,0,0,25,10
2026-09-16T19:34:40Z,emailservice,0,0,0,0,0,0,0
2026-09-16T19:34:40Z,frontend,1,1,0,0,0,665,1
2026-09-16T19:34:40Z,paymentservice,0,0,0,0,0,0,0
2026-09-16T19:34:40Z,productcatalogservice,1,1,0,0,0,5,1
2026-09-16T19:34:40Z,recommendationservice,0,0,0,0,0,0,0
2026-09-16T19:34:40Z,redis-cart,0,0,0,0,0,0,0
2026-09-16T19:34:40Z,shippingservice,0,0,0,0,0,0,0
2026-09-16T19:34:45Z,adservice,1,1,0,0,0,73,1
2026-09-16T19:34:45Z,cartservice,1,1,0,0,0,414,1
2026-09-16T19:34:45Z,checkoutservice,0,0,0,0,0,0,0
2026-09-16T19:34:45Z,currencyservice,10,10,0,0,0,25,10
2026-09-16T19:34:45Z,emailservice,0,0,0,0,0,0,0
2026-09-16T19:34:45Z,frontend,1,1,0,0,0,665,1
2026-09-16T19:34:45Z,paymentservice,0,0,0,0,0,0,0
2026-09-16T19:34:45Z,productcatalogservice,1,1,0,0,0,5,1
2026-09-16T19:34:45Z,recommendationservice,0,0,0,0,0,0,0
2026-09-16T19:34:45Z,redis-cart,0,0,0,0,0,0,0
2026-09-16T19:34:45Z,shippingservice,0,0,0,0,0,0,0
2026-09-16T19:34:50Z,adservice,1,1,0,0,0,73,1
2026-09-16T19:34:50Z,cartservice,1,1,0,0,0,414,1
2026-09-16T19:34:50Z,checkoutservice,0,0,0,0,0,0,0
2026-09-16T19:34:50Z,currencyservice,10,10,0,0,0,25,10
2026-09-16T19:34:50Z,emailservice,0,0,0,0,0,0,0
2026-09-16T19:34:50Z,frontend,1,1,0,0,0,665,1
