timestamp,api,threshold,admitted_rps
2026-09-10T22:02:19Z,getproduct,10000.0,0.0
2026-09-10T22:02:19Z,postcheckout,10000.0,0.0
2026-09-10T22:02:19Z,getcart,10000.0,0.0
2026-09-10T22:02:19Z,postcart,10000.0,0.0
2026-09-10T22:02:19Z,emptycart,10000.0,0.0
2026-09-10T22:02:20Z,getproduct,10000.0,0.0
2026-09-10T22:02:20Z,postcheckout,10000.0,0.0
2026-09-10T22:02:20Z,getcart,10000.0,0.0
2026-09-10T22:02:20Z,postcart,10000.0,0.0
2026-09-10T22:02:20Z,emptycart,10000.0,0.0
2026-09-10T22:02:21Z,getproduct,10000.0,0.0
2026-09-10T22:02:21Z,postcheckout,10000.0,0.0
2026-09-10T22:02:21Z,getcart,10000.0,0.0
2026-09-10T22:02:21Z,postcart,10000.0,0.0
2026-09-10T22:02:21Z,emptycart,10000.0,0.0
2026-09-10T22:02:22Z,getproduct,10000.0,0.0
2026-09-10T22:02:22Z,postcheckout,10000.0,0.0
2026-09-10T22:02:22Z,getcart,10000.0,0.0
2026-09-10T22:02:22Z,postcart,10000.0,0.0
2026-09-10T22:02:22Z,emptycart,10000.0,0.0
2026-09-10T22:02:23Z,getproduct,10000.0,0.0
2026-09-10T22:02:23Z,postcheckout,10000.0,0.0
2026-09-10T22:02:23Z,getcart,10000.0,0.0
2026-09-10T22:02:23Z,postcart,10000.0,0.0
2026-09-10T22:02:23Z,emptycart,10000.0,0.0
2026-09-10T22:02:24Z,getproduct,10000.0,0.0
2026-09-10T22:02:24Z,postcheckout,10000.0,0.0
2026-09-10T22:02:24Z,getcart,10000.0,0.0
2026-09-10T22:02:24Z,postcart,10000.0,0.0
2026-09-10T22:02:24Z,emptycart,10000.0,0.0
2026-09-10T22:02:25Z,getproduct,10000.0,0.0
2026-09-10T22:02:25Z,postcheckout,10000.0,0.0
2026-09-10T22:02:25Z,getcart,10000.0,0.0
2026-09-10T22:02:25Z,postcart,10000.0,0.0
2026-09-10T22:02:25Z,emptycart,10000.0,0.0
2026-09-10T22:02:26Z,getproduct,10000.0,0.0
2026-09-10T22:02:26Z,postcheckout,10000.0,0.0
2026-09-10T22:02:26Z,getcart,10000.0,0.0
2026-09-10T22:02:26Z,postcart,10000.0,0.0
2026-09-10T22:02:26Z,emptycart,10000.0,0.0
2026-09-10T22:02:27Z,getproduct,10000.0,0.0
2026-09-10T22:02:27Z,postcheckout,10000.0,0.0
2026-09-10T22:02:27Z,getcart,10000.0,0.0
2026-09-10T22:02:27Z,postcart,10000.0,0.0
2026-09-10T22:02:27Z,emptycart,10000.0,0.0
2026-09-10T22:02:28Z,getproduct,10000.0,0.0
2026-09-10T22:02:28Z,postcheckout,10000.0,0.0
2026-09-10T22:02:28Z,getcart,10000.0,0.0
